strategy,instrument,old_verdict,new_verdict,dsr,pf,win_rate,max_dd_usd,n_trades,both_halves,p_value,dsr_waiver,old_failures,new_failures,changed
orb_fxe,,FAIL,FAIL,-8.551,0.736,0.447,0.88,2685,False,0.999999992096862,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-8.551)|pf(0.736)|p(1)|both_halves|mean_pnl(-0.00032),False
prior_day_breakout_cl,,FAIL,FAIL,-8.805,0.737,0.406,76.65,2586,False,0.9999999999916032,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-8.805)|pf(0.737)|p(1)|both_halves|mean_pnl(-0.02924),False
orb_ng,,FAIL,FAIL,-8.852,0.649,0.402,34.82,3014,False,0.999999999985976,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-8.852)|pf(0.649)|p(1)|both_halves|mean_pnl(-0.01132),False
donchian_breakout_ng,,FAIL,FAIL,-8.887,0.383,0.39,100.73,326,False,0.9999998939075789,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-8.887)|pf(0.383)|p(1)|both_halves|mean_pnl(-0.29293),False
orb_zb,,FAIL,FAIL,-8.97,0.733,0.421,174.12,2815,False,0.9999999991900137,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-8.970)|pf(0.733)|p(1)|both_halves|mean_pnl(-0.06139),False
rsi_meanrev_si,,FAIL,FAIL,-9.341,0.434,0.452,18.04,467,False,0.9999999999886928,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-9.341)|pf(0.434)|p(1)|both_halves|mean_pnl(-0.03782),False
pivot_reaction_cl,,FAIL,FAIL,-9.434,0.723,0.395,97.63,2709,False,0.999999999999876,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-9.434)|pf(0.723)|p(1)|both_halves|mean_pnl(-0.03557),False
bollinger_rsi_ng,,FAIL,FAIL,-9.538,0.342,0.242,205.98,18818,False,1.0,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-9.538)|pf(0.342)|p(1)|both_halves|mean_pnl(-0.01092),False
overnight_drift_ym,,FAIL,FAIL,-9.705,0.648,0.42,15949.48,2772,False,0.9999999999998629,False,dsr|profit_factor|max_drawdown_usd|p_value|both_halves|mean_pnl_positive,"dsr(-9.705)|pf(0.648)|max_dd($15,949)|p(1)|both_halves|mean_pnl(-5.57848)",False
bollinger_rsi,,FAIL,FAIL,-10.146,0.811,0.364,13892.47,14866,False,1.0,False,dsr|profit_factor|max_drawdown_usd|p_value|both_halves|mean_pnl_positive,"dsr(-10.146)|pf(0.811)|max_dd($13,892)|p(1)|both_halves|mean_pnl(-0.86793)",False
orb_zn,,FAIL,FAIL,-10.208,0.68,0.399,92.65,2900,False,0.9999999999999212,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-10.208)|pf(0.680)|p(1)|both_halves|mean_pnl(-0.03166),False
rsi_meanrev_ym,,FAIL,FAIL,-10.314,0.724,0.565,24680.27,4196,False,0.9999999999999933,False,dsr|profit_factor|max_drawdown_usd|p_value|both_halves|mean_pnl_positive,"dsr(-10.314)|pf(0.724)|max_dd($24,680)|p(1)|both_halves|mean_pnl(-5.87909)",False
overnight_drift_es,,FAIL,FAIL,-10.339,0.625,0.425,2191.71,3024,False,0.9999999999999999,False,dsr|profit_factor|max_drawdown_usd|p_value|both_halves|mean_pnl_positive,"dsr(-10.339)|pf(0.625)|max_dd($2,192)|p(1)|both_halves|mean_pnl(-0.71981)",False
prior_day_breakout_fxb,,FAIL,FAIL,-11.016,0.648,0.425,0.73,2431,False,1.0,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-11.016)|pf(0.648)|p(1)|both_halves|mean_pnl(-0.00030),False
overnight_fade_ng,,FAIL,FAIL,-11.059,0.103,0.229,1.8,175,False,1.0,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-11.059)|pf(0.103)|p(1)|both_halves|mean_pnl(-0.01017),False
rsi_meanrev_fxe,,FAIL,FAIL,-11.117,0.608,0.543,1.01,3918,False,1.0,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-11.117)|pf(0.608)|p(1)|both_halves|mean_pnl(-0.00019),False
rsi_meanrev,,FAIL,FAIL,-12.171,0.682,0.554,4133.66,4179,False,1.0,False,dsr|profit_factor|max_drawdown_usd|p_value|both_halves|mean_pnl_positive,"dsr(-12.171)|pf(0.682)|max_dd($4,134)|p(1)|both_halves|mean_pnl(-0.98579)",False
rsi_meanrev_cl,,FAIL,FAIL,-13.198,0.676,0.575,166.17,4554,False,1.0,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-13.198)|pf(0.676)|p(1)|both_halves|mean_pnl(-0.03651),False
camarilla_breakout_zb,,FAIL,FAIL,-13.609,0.561,0.383,128.6,2525,False,1.0,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-13.609)|pf(0.561)|p(1)|both_halves|mean_pnl(-0.05099),False
round_number_nq,,FAIL,FAIL,-14.233,0.628,0.524,13996.96,4475,False,1.0,False,dsr|profit_factor|max_drawdown_usd|p_value|both_halves|mean_pnl_positive,"dsr(-14.233)|pf(0.628)|max_dd($13,997)|p(1)|both_halves|mean_pnl(-3.10212)",False
round_number_es,,FAIL,FAIL,-14.373,0.583,0.526,3317.41,3434,False,1.0,False,dsr|profit_factor|max_drawdown_usd|p_value|both_halves|mean_pnl_positive,"dsr(-14.373)|pf(0.583)|max_dd($3,317)|p(1)|both_halves|mean_pnl(-0.96474)",False
bollinger_rsi_cl,,FAIL,FAIL,-14.418,0.795,0.367,720.02,21207,False,1.0,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-14.418)|pf(0.795)|p(1)|both_halves|mean_pnl(-0.03385),False
camarilla_breakout_fxe,,FAIL,FAIL,-15.283,0.525,0.351,0.82,2572,False,1.0,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-15.283)|pf(0.525)|p(1)|both_halves|mean_pnl(-0.00032),False
rsi_meanrev_fxj,,FAIL,FAIL,-15.654,0.518,0.534,0.01,2515,False,1.0,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-15.654)|pf(0.518)|p(1)|both_halves|mean_pnl(-0.00000),False
round_number_zn,,FAIL,FAIL,-15.912,0.006,0.032,3.64,93,False,1.0,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-15.912)|pf(0.006)|p(1)|both_halves|mean_pnl(-0.03916),False
overnight_drift_zn,,FAIL,FAIL,-16.162,0.124,0.14,108.9,3024,False,1.0,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-16.162)|pf(0.124)|p(1)|both_halves|mean_pnl(-0.03602),False
prior_day_breakout_fxe,,FAIL,FAIL,-16.311,0.458,0.424,0.83,2612,False,1.0,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-16.311)|pf(0.458)|p(1)|both_halves|mean_pnl(-0.00032),False
camarilla_breakout_ng,,FAIL,FAIL,-16.839,0.34,0.285,25.0,2458,False,1.0,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-16.839)|pf(0.340)|p(1)|both_halves|mean_pnl(-0.01011),False
prior_day_breakout_zb,,FAIL,FAIL,-17.914,0.434,0.426,158.7,2598,False,1.0,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-17.914)|pf(0.434)|p(1)|both_halves|mean_pnl(-0.06114),False
camarilla_breakout_zn,,FAIL,FAIL,-18.662,0.407,0.35,84.76,2575,False,1.0,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-18.662)|pf(0.407)|p(1)|both_halves|mean_pnl(-0.03288),False
