======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['GC']  Strategies: 16
======================================================================
[GC] Primary bars: 77,270 rows
[GC] 77,270 bars ready. L2 cols present: 17/17

  Repeated_Replenishment              GC  trades=6340  dsr=-0.006  pnl=$ 210,600
  Repeated_Replenishment              GC  trades=5307  dsr=+0.324  pnl=$  47,175
  Repeated_Replenishment              GC  trades=5307  dsr=+0.271  pnl=$  52,395
  Repeated_Replenishment              GC  trades=5307  dsr=-0.007  pnl=$ 195,392
  Repeated_Replenishment              GC  trades=5307  dsr=-0.007  pnl=$ 208,253
  CVD_Microprice                      GC  trades=27217  dsr=+0.046  pnl=$  20,520
  CVD_Microprice                      GC  trades=27217  dsr=+0.023  pnl=$  95,139
  CVD_Microprice                      GC  trades=27217  dsr=-0.005  pnl=$ 577,828
  CVD_Microprice                      GC  trades=27217  dsr=-0.005  pnl=$ 755,170
  CVD_Microprice                      GC  trades=25307  dsr=+0.056  pnl=$  53,800
  CVD_Microprice                      GC  trades=25307  dsr=-0.005  pnl=$ 127,934
  CVD_Microprice                      GC  trades=25307  dsr=-0.005  pnl=$ 597,962
  CVD_Microprice                      GC  trades=25307  dsr=-0.005  pnl=$ 772,878
  CVD_Microprice                      GC  trades=21373  dsr=+0.036  pnl=$  56,081
  CVD_Microprice                      GC  trades=21373  dsr=-0.006  pnl=$ 121,404
  CVD_Microprice                      GC  trades=21373  dsr=-0.005  pnl=$ 490,430
  CVD_Microprice                      GC  trades=21373  dsr=-0.005  pnl=$ 649,476
  CVD_Microprice                      GC  trades=19915  dsr=-0.006  pnl=$  79,899
  CVD_Microprice                      GC  trades=19915  dsr=-0.006  pnl=$ 145,629
  CVD_Microprice                      GC  trades=19915  dsr=-0.006  pnl=$ 502,786
  CVD_Microprice                      GC  trades=19915  dsr=-0.006  pnl=$ 660,366
  CVD_Microprice                      GC  trades=14243  dsr=-0.006  pnl=$  81,131
  CVD_Microprice                      GC  trades=14243  dsr=-0.006  pnl=$ 157,648
  CVD_Microprice                      GC  trades=14243  dsr=-0.006  pnl=$ 379,940
  CVD_Microprice                      GC  trades=14243  dsr=-0.006  pnl=$ 517,658
  CVD_Microprice                      GC  trades=13288  dsr=-0.006  pnl=$  85,547
  CVD_Microprice                      GC  trades=13288  dsr=-0.006  pnl=$ 161,190
  CVD_Microprice                      GC  trades=13288  dsr=-0.006  pnl=$ 375,557
  CVD_Microprice                      GC  trades=13288  dsr=-0.006  pnl=$ 511,062
  CVD_Slope_Regime                    GC  trades=12540  dsr=-0.145  pnl=$ -18,621
  CVD_Slope_Regime                    GC  trades=12540  dsr=-0.328  pnl=$ -42,030
  CVD_Slope_Regime                    GC  trades=12540  dsr=-0.005  pnl=$ 209,646
  CVD_Slope_Regime                    GC  trades=12540  dsr=-0.005  pnl=$ 196,912
  CVD_Slope_Regime                    GC  trades=7813  dsr=-0.101  pnl=$  -7,350
  CVD_Slope_Regime                    GC  trades=7813  dsr=-0.224  pnl=$ -16,962
  CVD_Slope_Regime                    GC  trades=7813  dsr=-0.006  pnl=$ 150,986
  CVD_Slope_Regime                    GC  trades=7813  dsr=-0.006  pnl=$ 149,872
  CVD_Slope_Regime                    GC  trades=4829  dsr=+0.104  pnl=$  20,875
  CVD_Slope_Regime                    GC  trades=4829  dsr=+0.218  pnl=$  21,230
  CVD_Slope_Regime                    GC  trades=4829  dsr=-0.007  pnl=$ 117,620
  CVD_Slope_Regime                    GC  trades=4829  dsr=-0.007  pnl=$ 123,622
  CVD_Acceleration                    GC  trades=9603  dsr=-0.407  pnl=$ -24,394
  CVD_Acceleration                    GC  trades=9603  dsr=-0.089  pnl=$  -5,054
  CVD_Acceleration                    GC  trades=9603  dsr=-0.006  pnl=$ 109,058
  CVD_Acceleration                    GC  trades=9603  dsr=-0.006  pnl=$ 131,360
  CVD_Acceleration                    GC  trades=5988  dsr=-0.128  pnl=$  -5,130
  CVD_Acceleration                    GC  trades=5988  dsr=+0.304  pnl=$  15,482
  CVD_Acceleration                    GC  trades=5988  dsr=-0.006  pnl=$  90,541
  CVD_Acceleration                    GC  trades=5988  dsr=-0.006  pnl=$ 123,084
  CVD_Acceleration                    GC  trades=3866  dsr=+0.255  pnl=$   9,658
  CVD_Acceleration                    GC  trades=3866  dsr=+0.298  pnl=$  26,301
  CVD_Acceleration                    GC  trades=3866  dsr=-0.007  pnl=$  66,739
  CVD_Acceleration                    GC  trades=3866  dsr=-0.007  pnl=$  89,533
  CVD_VWAP                            GC  trades=7044  dsr=-0.005  pnl=$  69,833
  CVD_VWAP                            GC  trades=7044  dsr=+0.036  pnl=$  75,182
  CVD_VWAP                            GC  trades=7044  dsr=-0.005  pnl=$ 268,848
  CVD_VWAP                            GC  trades=7044  dsr=-0.005  pnl=$ 276,018
  CVD_VWAP                            GC  trades=6405  dsr=+0.460  pnl=$  73,086
  CVD_VWAP                            GC  trades=6405  dsr=+0.430  pnl=$  79,342
  CVD_VWAP                            GC  trades=6405  dsr=-0.005  pnl=$ 244,808
  CVD_VWAP                            GC  trades=6405  dsr=-0.005  pnl=$ 255,886
  CVD_VWAP                            GC  trades=10923  dsr=+0.136  pnl=$  33,970
  CVD_VWAP                            GC  trades=10923  dsr=+0.159  pnl=$  46,133
  CVD_VWAP                            GC  trades=10923  dsr=-0.005  pnl=$ 330,784
  CVD_VWAP                            GC  trades=10923  dsr=-0.005  pnl=$ 350,622
  CVD_VWAP                            GC  trades=9883  dsr=+0.282  pnl=$  45,897
  CVD_VWAP                            GC  trades=9883  dsr=+0.319  pnl=$  61,176
  CVD_VWAP                            GC  trades=9883  dsr=-0.005  pnl=$ 300,454
  CVD_VWAP                            GC  trades=9883  dsr=-0.005  pnl=$ 326,868
  Depth_Imbalance_Momentum            GC  trades=30312  dsr=-0.005  pnl=$ 298,689
  Depth_Imbalance_Momentum            GC  trades=30312  dsr=-0.005  pnl=$ 392,062
  Depth_Imbalance_Momentum            GC  trades=30312  dsr=-0.005  pnl=$1,017,122
  Depth_Imbalance_Momentum            GC  trades=30312  dsr=-0.005  pnl=$1,194,499
  Depth_Imbalance_Momentum            GC  trades=27104  dsr=-0.005  pnl=$ 279,870
  Depth_Imbalance_Momentum            GC  trades=27104  dsr=-0.005  pnl=$ 402,009
  Depth_Imbalance_Momentum            GC  trades=27104  dsr=-0.005  pnl=$ 936,823
  Depth_Imbalance_Momentum            GC  trades=27104  dsr=-0.005  pnl=$1,141,317
  Depth_Imbalance_Momentum            GC  trades=23151  dsr=+0.126  pnl=$ 263,182
  Depth_Imbalance_Momentum            GC  trades=23151  dsr=-0.006  pnl=$ 391,727
  Depth_Imbalance_Momentum            GC  trades=23151  dsr=-0.006  pnl=$ 841,510
  Depth_Imbalance_Momentum            GC  trades=23151  dsr=-0.006  pnl=$1,036,229
  Depth_Imbalance_Momentum            GC  trades=24034  dsr=+0.060  pnl=$ 261,711
  Depth_Imbalance_Momentum            GC  trades=24034  dsr=-0.005  pnl=$ 346,380
  Depth_Imbalance_Momentum            GC  trades=24034  dsr=-0.005  pnl=$ 855,427
  Depth_Imbalance_Momentum            GC  trades=24034  dsr=-0.005  pnl=$1,004,979
  Depth_Imbalance_Momentum            GC  trades=21446  dsr=+0.004  pnl=$ 244,974
  Depth_Imbalance_Momentum            GC  trades=21446  dsr=-0.006  pnl=$ 349,260
  Depth_Imbalance_Momentum            GC  trades=21446  dsr=-0.006  pnl=$ 780,648
  Depth_Imbalance_Momentum            GC  trades=21446  dsr=-0.006  pnl=$ 949,052
  Depth_Imbalance_Momentum            GC  trades=18118  dsr=+0.037  pnl=$ 226,782
  Depth_Imbalance_Momentum            GC  trades=18118  dsr=-0.006  pnl=$ 327,366
  Depth_Imbalance_Momentum            GC  trades=18118  dsr=-0.006  pnl=$ 695,955
  Depth_Imbalance_Momentum            GC  trades=18118  dsr=-0.006  pnl=$ 847,837
  Depth_Imbalance_Momentum            GC  trades=19463  dsr=-0.006  pnl=$ 309,990
  Depth_Imbalance_Momentum            GC  trades=19463  dsr=-0.006  pnl=$ 385,095
  Depth_Imbalance_Momentum            GC  trades=19463  dsr=-0.006  pnl=$ 834,992
  Depth_Imbalance_Momentum            GC  trades=19463  dsr=-0.006  pnl=$ 973,404
  Depth_Imbalance_Momentum            GC  trades=17333  dsr=-0.006  pnl=$ 294,290
  Depth_Imbalance_Momentum            GC  trades=17333  dsr=-0.006  pnl=$ 395,436
  Depth_Imbalance_Momentum            GC  trades=17333  dsr=-0.006  pnl=$ 761,950
  Depth_Imbalance_Momentum            GC  trades=17333  dsr=-0.006  pnl=$ 921,357
  Depth_Imbalance_Momentum            GC  trades=14593  dsr=-0.006  pnl=$ 267,042
  Depth_Imbalance_Momentum            GC  trades=14593  dsr=-0.006  pnl=$ 354,214
  Depth_Imbalance_Momentum            GC  trades=14593  dsr=-0.006  pnl=$ 672,148
  Depth_Imbalance_Momentum            GC  trades=14593  dsr=-0.006  pnl=$ 811,532
  Depth_Imbalance_MeanRev             GC  trades=3170  dsr=-3.087  pnl=$-113,053
  Depth_Imbalance_MeanRev             GC  trades=3170  dsr=-2.825  pnl=$-110,998
  Depth_Imbalance_MeanRev             GC  trades=3170  dsr=-2.783  pnl=$-112,237
  Depth_Imbalance_MeanRev             GC  trades=3170  dsr=-0.758  pnl=$ -36,972
  Depth_Imbalance_MeanRev             GC  trades=3170  dsr=-0.371  pnl=$ -18,768
  Depth_Imbalance_MeanRev             GC  trades=3170  dsr=-0.300  pnl=$ -14,782
  Depth_Imbalance_MeanRev             GC  trades=2538  dsr=-2.301  pnl=$ -80,725
  Depth_Imbalance_MeanRev             GC  trades=2538  dsr=-2.066  pnl=$ -76,782
  Depth_Imbalance_MeanRev             GC  trades=2538  dsr=-1.999  pnl=$ -76,305
  Depth_Imbalance_MeanRev             GC  trades=2538  dsr=-0.223  pnl=$ -10,236
  Depth_Imbalance_MeanRev             GC  trades=2538  dsr=+0.174  pnl=$  11,570
  Depth_Imbalance_MeanRev             GC  trades=2538  dsr=+0.303  pnl=$  17,232
  Depth_Imbalance_MeanRev             GC  trades=2026  dsr=-2.622  pnl=$ -84,190
  Depth_Imbalance_MeanRev             GC  trades=2026  dsr=-2.160  pnl=$ -76,265
  Depth_Imbalance_MeanRev             GC  trades=2026  dsr=-2.025  pnl=$ -72,927
  Depth_Imbalance_MeanRev             GC  trades=2026  dsr=-0.582  pnl=$ -24,046
  Depth_Imbalance_MeanRev             GC  trades=2026  dsr=+0.038  pnl=$   2,126
  Depth_Imbalance_MeanRev             GC  trades=2026  dsr=+0.255  pnl=$  12,829
  MultiTF_OFI                         GC  trades=35161  dsr=-0.416  pnl=$-111,848
  MultiTF_OFI                         GC  trades=35161  dsr=-0.312  pnl=$ -96,580
  MultiTF_OFI                         GC  trades=35161  dsr=-0.005  pnl=$ 461,798
  MultiTF_OFI                         GC  trades=35161  dsr=-0.005  pnl=$ 561,124
  MultiTF_OFI                         GC  trades=27134  dsr=-0.261  pnl=$ -56,294
  MultiTF_OFI                         GC  trades=27134  dsr=-0.078  pnl=$ -19,054
  MultiTF_OFI                         GC  trades=27134  dsr=-0.005  pnl=$ 410,727
  MultiTF_OFI                         GC  trades=27134  dsr=-0.005  pnl=$ 512,481
  MultiTF_OFI                         GC  trades=33161  dsr=-0.403  pnl=$-109,562
  MultiTF_OFI                         GC  trades=33161  dsr=-0.174  pnl=$ -53,466
  MultiTF_OFI                         GC  trades=33161  dsr=-0.005  pnl=$ 427,990
  MultiTF_OFI                         GC  trades=33161  dsr=-0.005  pnl=$ 552,766
  MultiTF_OFI                         GC  trades=25707  dsr=+0.029  pnl=$   7,854
