strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
Sweep_Absorption_Reversal,GC,"{""min_sweeps"": 2, ""absorption_thr"": 0.8, ""rr_ratio"": 1.5, ""hold_bars"": 8}",489,0.4438,428.5,319.27,-253.14,1.006,0.0803,0.0558,10587.0
Depth_Imbalance_MeanRev,GC,"{""extreme_thr"": 0.7, ""rr_ratio"": 1.5, ""hold_bars"": 8}",994,0.4457,1678.25,557.9,-445.5,1.007,0.0666,0.054,25291.5
CVD_Absorption,GC,"{""cvd_pct"": 20, ""price_bias"": ""close"", ""rr_ratio"": 1.5, ""hold_bars"": 10}",2981,0.4478,33508.5,421.42,-321.44,1.063,0.6505,0.0408,49542.0
CVD_Absorption,GC,"{""cvd_pct"": 20, ""price_bias"": ""body"", ""rr_ratio"": 1.5, ""hold_bars"": 10}",2981,0.4478,33508.5,421.42,-321.44,1.063,0.6505,0.0408,49542.0
Absorption_Reversal,GC,"{""abs_pct"": 85, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 8}",17178,0.4487,135542.0,416.09,-324.36,1.044,0.7286,0.0255,99837.5
Repeated_Replenishment,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 1.5, ""hold_bars"": 12}",2951,0.4436,83580.0,581.37,-412.57,1.123,1.1534,0.0155,48870.5
Sweep_Continuation,GC,"{""min_sweeps"": 3, ""confirm_bars"": 1, ""rr_ratio"": 2.0, ""hold_bars"": 10}",970,0.3907,20689.0,408.94,-227.24,1.154,1.5892,0.0146,17751.0
Sweep_Absorption_Reversal,GC,"{""min_sweeps"": 2, ""absorption_thr"": 0.8, ""rr_ratio"": 1.5, ""hold_bars"": 5}",489,0.4376,103.5,283.01,-219.86,1.002,0.02,-0.0035,9045.0
Absorption_Reversal,GC,"{""abs_pct"": 80, ""roll_win"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 5}",19588,0.4491,215966.5,393.98,-301.16,1.066,0.9985,-0.0081,111253.0
MultiTF_OFI,GC,"{""trend_window"": 20, ""entry_pct"": 75, ""rr_ratio"": 2.0, ""hold_bars"": 5}",13386,0.4316,555561.0,508.75,-313.35,1.233,3.2737,-0.0081,52224.5
Absorption_Reversal,GC,"{""abs_pct"": 80, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",19588,0.4252,716546.0,488.52,-297.75,1.214,2.6784,-0.0081,64452.0
Absorption_Reversal,GC,"{""abs_pct"": 80, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 8}",19588,0.4153,811932.0,547.29,-317.84,1.223,2.9106,-0.0081,70169.0
Absorption_Reversal,GC,"{""abs_pct"": 80, ""roll_win"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 12}",19588,0.4465,303293.5,446.29,-332.11,1.084,1.2989,-0.0081,120999.5
Absorption_Reversal,GC,"{""abs_pct"": 80, ""roll_win"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 8}",19588,0.4482,263967.0,426.41,-321.98,1.076,1.1915,-0.0081,111027.5
OFI_Reversal,GC,"{""ofi_pct"": 85, ""body_fraction"": 0.35, ""rr_ratio"": 1.5, ""hold_bars"": 5}",9928,0.4391,123664.5,462.19,-339.57,1.065,0.9361,-0.0081,83271.5
OFI_Reversal,GC,"{""ofi_pct"": 85, ""body_fraction"": 0.2, ""rr_ratio"": 2.0, ""hold_bars"": 5}",9648,0.4189,410782.0,574.09,-340.65,1.215,2.5295,-0.0081,39352.0
OFI_Microprice,GC,"{""mp_diff_pct"": 60, ""ofi_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",12902,0.4209,478561.0,573.38,-352.64,1.182,2.6009,-0.0081,51799.5
Absorption_Reversal,GC,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 5}",19812,0.4238,609276.0,481.11,-300.53,1.178,2.628,-0.0081,52200.5
Absorption_Reversal,GC,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 12}",19812,0.408,708590.0,570.56,-332.86,1.182,2.962,-0.0081,71356.5
Absorption_Reversal,GC,"{""abs_pct"": 85, ""roll_win"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 5}",15196,0.4507,172783.0,392.15,-301.07,1.069,1.1143,-0.0081,83015.0
