======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['GC']  Strategies: 16
======================================================================
[GC] Primary bars: 77,270 rows
[GC] Quick mode: 28,374 bars from 2024
[GC] 28,374 bars ready. L2 cols present: 17/17

  CVD_Absorption                      GC  trades=2981  dsr=-0.011  pnl=$  46,923
  CVD_Absorption                      GC  trades=2981  dsr=-0.011  pnl=$ 106,194
  CVD_Absorption                      GC  trades=2981  dsr=-0.011  pnl=$ 112,679
  CVD_Absorption                      GC  trades=2981  dsr=-0.011  pnl=$ 147,645
  CVD_Absorption                      GC  trades=2981  dsr=-0.011  pnl=$ 170,644
  CVD_Absorption                      GC  trades=4156  dsr=+0.125  pnl=$  33,869
  CVD_Absorption                      GC  trades=4156  dsr=-0.007  pnl=$  55,480
  CVD_Absorption                      GC  trades=4156  dsr=-0.010  pnl=$  95,134
  CVD_Absorption                      GC  trades=4156  dsr=-0.010  pnl=$ 139,031
  CVD_Absorption                      GC  trades=4156  dsr=-0.011  pnl=$ 145,871
  CVD_Absorption                      GC  trades=4156  dsr=-0.010  pnl=$ 209,274
  CVD_Absorption                      GC  trades=4156  dsr=+0.125  pnl=$  33,869
  CVD_Absorption                      GC  trades=4156  dsr=-0.007  pnl=$  55,480
  CVD_Absorption                      GC  trades=4156  dsr=-0.010  pnl=$  95,134
  CVD_Absorption                      GC  trades=4156  dsr=-0.010  pnl=$ 139,031
  CVD_Absorption                      GC  trades=4156  dsr=-0.011  pnl=$ 145,871
  CVD_Absorption                      GC  trades=4156  dsr=-0.010  pnl=$ 209,274
  Repeated_Replenishment              GC  trades=4200  dsr=+0.280  pnl=$ 102,546
  Repeated_Replenishment              GC  trades=4200  dsr=+0.124  pnl=$ 101,197
  Repeated_Replenishment              GC  trades=4200  dsr=-0.009  pnl=$ 242,024
  Repeated_Replenishment              GC  trades=4200  dsr=-0.009  pnl=$ 252,286
  Repeated_Replenishment              GC  trades=3625  dsr=-0.010  pnl=$ 104,252
  Repeated_Replenishment              GC  trades=3625  dsr=-0.010  pnl=$ 105,428
  Repeated_Replenishment              GC  trades=3625  dsr=-0.010  pnl=$ 238,349
  Repeated_Replenishment              GC  trades=3625  dsr=-0.010  pnl=$ 255,647
  Repeated_Replenishment              GC  trades=3393  dsr=+0.165  pnl=$  96,759
  Repeated_Replenishment              GC  trades=3393  dsr=-0.010  pnl=$ 101,934
  Repeated_Replenishment              GC  trades=3393  dsr=-0.010  pnl=$ 213,482
  Repeated_Replenishment              GC  trades=3393  dsr=-0.010  pnl=$ 233,069
  Repeated_Replenishment              GC  trades=2951  dsr=+0.135  pnl=$  93,235
  Repeated_Replenishment              GC  trades=2951  dsr=-0.010  pnl=$  96,860
  Repeated_Replenishment              GC  trades=2951  dsr=-0.010  pnl=$ 203,900
  Repeated_Replenishment              GC  trades=2951  dsr=-0.010  pnl=$ 221,674
  Repeated_Replenishment              GC  trades=2768  dsr=-0.010  pnl=$  88,243
  Repeated_Replenishment              GC  trades=2768  dsr=-0.010  pnl=$  90,302
  Repeated_Replenishment              GC  trades=2768  dsr=-0.010  pnl=$ 184,421
  Repeated_Replenishment              GC  trades=2768  dsr=-0.010  pnl=$ 197,336
  Repeated_Replenishment              GC  trades=2374  dsr=-0.011  pnl=$  82,468
  Repeated_Replenishment              GC  trades=2374  dsr=-0.011  pnl=$  86,950
  Repeated_Replenishment              GC  trades=2374  dsr=-0.011  pnl=$ 176,386
  Repeated_Replenishment              GC  trades=2374  dsr=-0.011  pnl=$ 192,851
  CVD_Microprice                      GC  trades=11967  dsr=-0.009  pnl=$ 269,118
  CVD_Microprice                      GC  trades=11967  dsr=-0.009  pnl=$ 298,946
  CVD_Microprice                      GC  trades=11967  dsr=-0.009  pnl=$ 624,610
  CVD_Microprice                      GC  trades=11967  dsr=-0.009  pnl=$ 746,810
  CVD_Microprice                      GC  trades=11236  dsr=-0.009  pnl=$ 269,436
  CVD_Microprice                      GC  trades=11236  dsr=-0.009  pnl=$ 299,132
  CVD_Microprice                      GC  trades=11236  dsr=-0.009  pnl=$ 618,008
  CVD_Microprice                      GC  trades=11236  dsr=-0.009  pnl=$ 738,039
  CVD_Microprice                      GC  trades=9604  dsr=-0.009  pnl=$ 201,642
  CVD_Microprice                      GC  trades=9604  dsr=-0.009  pnl=$ 237,227
  CVD_Microprice                      GC  trades=9604  dsr=-0.009  pnl=$ 473,795
  CVD_Microprice                      GC  trades=9604  dsr=-0.009  pnl=$ 592,242
  CVD_Microprice                      GC  trades=9029  dsr=-0.009  pnl=$ 201,417
  CVD_Microprice                      GC  trades=9029  dsr=-0.009  pnl=$ 236,496
  CVD_Microprice                      GC  trades=9029  dsr=-0.009  pnl=$ 467,173
  CVD_Microprice                      GC  trades=9029  dsr=-0.009  pnl=$ 583,673
  CVD_Microprice                      GC  trades=6394  dsr=-0.009  pnl=$ 165,482
  CVD_Microprice                      GC  trades=6394  dsr=-0.009  pnl=$ 213,396
  CVD_Microprice                      GC  trades=6394  dsr=-0.009  pnl=$ 347,679
  CVD_Microprice                      GC  trades=6394  dsr=-0.009  pnl=$ 459,056
  CVD_Microprice                      GC  trades=6025  dsr=-0.009  pnl=$ 155,946
  CVD_Microprice                      GC  trades=6025  dsr=-0.009  pnl=$ 202,640
  CVD_Microprice                      GC  trades=6025  dsr=-0.009  pnl=$ 332,765
  CVD_Microprice                      GC  trades=6025  dsr=-0.009  pnl=$ 441,086
  CVD_Slope_Regime                    GC  trades=4425  dsr=-0.009  pnl=$ 100,958
  CVD_Slope_Regime                    GC  trades=4425  dsr=-0.009  pnl=$  80,331
