strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
OFI_Microprice,GC,"{""mp_diff_pct"": 60, ""ofi_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 5}",27940,0.4173,598260.0,374.6,-231.51,1.159,1.9911,0.3377,37565.5
OFI_Continuation,GC,"{""ofi_pct"": 95, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",2384,0.4211,15806.0,280.59,-192.69,1.059,0.5013,0.3348,16600.0
CVD_Absorption,GC,"{""cvd_pct"": 20, ""price_bias"": ""body"", ""rr_ratio"": 2.5, ""hold_bars"": 5}",7169,0.3927,134785.0,323.61,-178.27,1.174,1.6756,0.3344,36735.0
CVD_Absorption,GC,"{""cvd_pct"": 20, ""price_bias"": ""close"", ""rr_ratio"": 2.5, ""hold_bars"": 5}",7169,0.3927,134785.0,323.61,-178.27,1.174,1.6756,0.3344,36735.0
OFI_Microprice,GC,"{""mp_diff_pct"": 70, ""ofi_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 10}",23323,0.4066,615274.5,455.21,-267.45,1.166,1.883,0.3313,46098.5
OFI_Microprice,GC,"{""mp_diff_pct"": 60, ""ofi_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 10}",27940,0.4067,699353.0,432.74,-254.4,1.166,1.9811,0.3278,51218.0
OFI_Microprice,GC,"{""mp_diff_pct"": 60, ""ofi_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",33604,0.403,651946.0,415.46,-247.91,1.131,1.6047,0.3242,60575.5
MultiTF_OFI,GC,"{""trend_window"": 20, ""entry_pct"": 75, ""rr_ratio"": 2.0, ""hold_bars"": 5}",35161,0.4122,461797.5,314.56,-198.28,1.113,1.4483,0.3236,113453.0
Absorption_Reversal,GC,"{""abs_pct"": 90, ""roll_win"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 8}",26632,0.447,88980.0,277.41,-218.21,1.028,0.3568,0.3215,177266.5
Absorption_Reversal,GC,"{""abs_pct"": 90, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 8}",26632,0.4143,583333.0,358.31,-216.07,1.173,1.9926,0.3189,45374.5
Absorption_Reversal,GC,"{""abs_pct"": 90, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",26632,0.418,478750.0,322.5,-200.77,1.154,1.8475,0.317,39926.5
CVD_Absorption,GC,"{""cvd_pct"": 30, ""price_bias"": ""close"", ""rr_ratio"": 2.5, ""hold_bars"": 10}",10244,0.3654,181701.0,367.0,-183.36,1.152,1.6315,0.3152,27522.5
CVD_Absorption,GC,"{""cvd_pct"": 30, ""price_bias"": ""body"", ""rr_ratio"": 2.5, ""hold_bars"": 10}",10244,0.3654,181701.0,367.0,-183.36,1.152,1.6315,0.3152,27522.5
CVD_Microprice,GC,"{""cvd_pct"": 80, ""mp_ticks"": 0.5, ""rr_ratio"": 1.5, ""hold_bars"": 5}",14243,0.4521,81131.0,300.43,-237.49,1.044,0.4755,0.315,117857.5
CVD_Acceleration,GC,"{""accel_std"": 2.5, ""rr_ratio"": 1.5, ""hold_bars"": 5}",3866,0.4366,9657.5,262.2,-198.78,1.022,0.2945,0.3129,38331.5
CVD_Microprice,GC,"{""cvd_pct"": 80, ""mp_ticks"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 10}",13288,0.4576,161190.0,343.35,-267.25,1.084,0.8614,0.312,86814.5
Session_HL_Sweep_Reversal,GC,"{""min_sweeps"": 1, ""rr_ratio"": 2.0, ""hold_bars"": 12}",53,0.5094,501.5,204.24,-192.81,1.1,0.6276,0.3116,1960.5
Repeated_Replenishment,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 1.5, ""hold_bars"": 8}",5307,0.4534,47175.25,387.06,-304.75,1.053,0.4804,0.3088,39304.5
