======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['SI']  Strategies: 16
======================================================================
[SI] Primary bars: 37,920 rows
[SI] Quick mode: 15,172 bars from 2024
[SI] 15,172 bars ready. L2 cols present: 17/17

  CVD_Absorption                      SI  trades=1206  dsr=-0.015  pnl=$ 129,633
  CVD_Absorption                      SI  trades=1206  dsr=-0.015  pnl=$ 153,139
  CVD_Absorption                      SI  trades=1206  dsr=-0.015  pnl=$  40,118
  CVD_Absorption                      SI  trades=1206  dsr=-0.015  pnl=$  50,416
  CVD_Absorption                      SI  trades=1206  dsr=-0.015  pnl=$  74,653
  CVD_Absorption                      SI  trades=1206  dsr=-0.015  pnl=$  85,073
  CVD_Absorption                      SI  trades=1206  dsr=-0.015  pnl=$ 129,633
  CVD_Absorption                      SI  trades=1206  dsr=-0.015  pnl=$ 153,139
  CVD_Absorption                      SI  trades=1618  dsr=-0.013  pnl=$  62,479
  CVD_Absorption                      SI  trades=1618  dsr=-0.014  pnl=$  65,665
  CVD_Absorption                      SI  trades=1618  dsr=-0.013  pnl=$ 119,646
  CVD_Absorption                      SI  trades=1618  dsr=-0.013  pnl=$ 129,919
  CVD_Absorption                      SI  trades=1618  dsr=-0.013  pnl=$ 160,148
  CVD_Absorption                      SI  trades=1618  dsr=-0.013  pnl=$ 196,144
  CVD_Absorption                      SI  trades=1618  dsr=-0.013  pnl=$  62,479
  CVD_Absorption                      SI  trades=1618  dsr=-0.014  pnl=$  65,665
  CVD_Absorption                      SI  trades=1618  dsr=-0.013  pnl=$ 119,646
  CVD_Absorption                      SI  trades=1618  dsr=-0.013  pnl=$ 129,919
  CVD_Absorption                      SI  trades=1618  dsr=-0.013  pnl=$ 160,148
  CVD_Absorption                      SI  trades=1618  dsr=-0.013  pnl=$ 196,144
  Repeated_Replenishment              SI  trades=2283  dsr=-0.011  pnl=$ 152,810
  Repeated_Replenishment              SI  trades=2283  dsr=-0.011  pnl=$ 155,882
  Repeated_Replenishment              SI  trades=2283  dsr=-0.011  pnl=$ 333,266
  Repeated_Replenishment              SI  trades=2283  dsr=-0.011  pnl=$ 310,379
  Repeated_Replenishment              SI  trades=1924  dsr=-0.012  pnl=$  73,850
  Repeated_Replenishment              SI  trades=1924  dsr=-0.012  pnl=$  78,662
  Repeated_Replenishment              SI  trades=1924  dsr=-0.012  pnl=$ 238,854
  Repeated_Replenishment              SI  trades=1924  dsr=-0.012  pnl=$ 217,530
