======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['GC']  Strategies: 16
======================================================================
[GC] Primary bars: 77,270 rows
[GC] 77,270 bars ready. L2 cols present: 17/17

  Depth_Imbalance_Momentum            GC  trades=30312  dsr=+0.414  pnl=$ 298,689
  Depth_Imbalance_Momentum            GC  trades=30312  dsr=+0.408  pnl=$ 392,062
  Depth_Imbalance_Momentum            GC  trades=30312  dsr=+0.374  pnl=$1,017,122
  Depth_Imbalance_Momentum            GC  trades=30312  dsr=+0.396  pnl=$1,194,499
  Depth_Imbalance_Momentum            GC  trades=27104  dsr=+0.429  pnl=$ 279,870
  Depth_Imbalance_Momentum            GC  trades=27104  dsr=+0.395  pnl=$ 402,009
  Depth_Imbalance_Momentum            GC  trades=27104  dsr=+0.414  pnl=$ 936,823
  Depth_Imbalance_Momentum            GC  trades=27104  dsr=+0.395  pnl=$1,141,317
  Depth_Imbalance_Momentum            GC  trades=23151  dsr=+0.460  pnl=$ 263,182
  Depth_Imbalance_Momentum            GC  trades=23151  dsr=+0.401  pnl=$ 391,727
  Depth_Imbalance_Momentum            GC  trades=23151  dsr=+0.431  pnl=$ 841,510
  Depth_Imbalance_Momentum            GC  trades=23151  dsr=+0.377  pnl=$1,036,229
  Depth_Imbalance_Momentum            GC  trades=24034  dsr=+0.439  pnl=$ 261,711
  Depth_Imbalance_Momentum            GC  trades=24034  dsr=+0.403  pnl=$ 346,380
  Depth_Imbalance_Momentum            GC  trades=24034  dsr=+0.419  pnl=$ 855,427
  Depth_Imbalance_Momentum            GC  trades=24034  dsr=+0.378  pnl=$1,004,979
  Depth_Imbalance_Momentum            GC  trades=21446  dsr=+0.417  pnl=$ 244,974
  Depth_Imbalance_Momentum            GC  trades=21446  dsr=+0.388  pnl=$ 349,260
  Depth_Imbalance_Momentum            GC  trades=21446  dsr=+0.415  pnl=$ 780,648
  Depth_Imbalance_Momentum            GC  trades=21446  dsr=+0.374  pnl=$ 949,052
  Depth_Imbalance_Momentum            GC  trades=18118  dsr=+0.442  pnl=$ 226,782
  Depth_Imbalance_Momentum            GC  trades=18118  dsr=+0.374  pnl=$ 327,366
  Depth_Imbalance_Momentum            GC  trades=18118  dsr=+0.411  pnl=$ 695,955
  Depth_Imbalance_Momentum            GC  trades=18118  dsr=+0.362  pnl=$ 847,837
  Depth_Imbalance_Momentum            GC  trades=19463  dsr=+0.424  pnl=$ 309,990
  Depth_Imbalance_Momentum            GC  trades=19463  dsr=+0.391  pnl=$ 385,095
  Depth_Imbalance_Momentum            GC  trades=19463  dsr=+0.408  pnl=$ 834,992
  Depth_Imbalance_Momentum            GC  trades=19463  dsr=+0.379  pnl=$ 973,404
  Depth_Imbalance_Momentum            GC  trades=17333  dsr=+0.425  pnl=$ 294,290
