strategy,symbol,tf,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
VWAP_Reclaim,ES,5m,"{""vol_multiplier"": 1.5, ""rr_ratio"": 1.5, ""hold_bars"": 12}",818,0.3888,-36650.0,277.34,-252.21,0.706,-1.8331,3.4614,37325.0
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 10}",1129,0.3189,-56342.86,206.96,-174.46,0.569,-3.387,3.4125,59615.18
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.7, ""rr_ratio"": 2.0, ""hold_bars"": 20}",8778,0.3459,-276719.1,286.43,-201.18,0.759,-3.0634,3.3619,278991.17
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.7, ""rr_ratio"": 2.5, ""hold_bars"": 20}",5113,0.3188,-165460.82,309.23,-193.44,0.753,-2.3776,3.2748,169530.91
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 15}",1129,0.3189,-60117.86,228.95,-188.3,0.578,-3.3401,3.0553,62172.32
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 10}",1839,0.3513,-79391.96,214.08,-187.66,0.635,-3.0095,2.5195,84929.46
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.7, ""rr_ratio"": 3.0, ""hold_bars"": 15}",8778,0.3178,-267858.38,315.12,-194.12,0.766,-2.6885,2.4569,271083.14
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 8, ""compress_ratio"": 0.7, ""rr_ratio"": 2.5, ""hold_bars"": 15}",3115,0.3146,-110621.43,273.22,-179.41,0.708,-2.4888,2.3442,113912.05
Enhanced_ORB,ES,5m,"{""orb_bars"": 3, ""vol_mult"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 12}",35666,0.4025,-942887.5,350.52,-281.41,0.842,-4.0017,2.2435,944468.75
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 2.5, ""atr_period"": 14, ""rr_ratio"": 1.5, ""hold_bars"": 10}",35117,0.4025,-1011604.02,359.33,-292.39,0.834,-2.4849,2.1886,1038079.46
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 2.0, ""atr_period"": 14, ""rr_ratio"": 1.5, ""hold_bars"": 10}",45860,0.404,-1322509.82,358.74,-293.73,0.834,-2.7797,2.1248,1330620.09
VWAP_Reclaim,ES,5m,"{""vol_multiplier"": 1.5, ""rr_ratio"": 1.5, ""hold_bars"": 6}",818,0.3936,-35343.75,229.39,-224.24,0.676,-2.0628,2.0563,36018.75
VWAP_Reclaim,ES,5m,"{""vol_multiplier"": 1.2, ""rr_ratio"": 1.5, ""hold_bars"": 6}",818,0.3936,-35343.75,229.39,-224.24,0.676,-2.0628,2.0563,36018.75
VWAP_Reclaim,ES,5m,"{""vol_multiplier"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 6}",818,0.3936,-35343.75,229.39,-224.24,0.676,-2.0628,2.0563,36018.75
Enhanced_ORB,ES,5m,"{""orb_bars"": 3, ""vol_mult"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 8}",35666,0.4065,-935375.0,327.53,-270.12,0.835,-4.2269,2.0297,936737.5
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 8, ""compress_ratio"": 0.7, ""rr_ratio"": 3.0, ""hold_bars"": 15}",3115,0.3037,-111520.54,286.77,-178.63,0.709,-2.426,1.9919,116045.54
VWAP_Reclaim,ES,5m,"{""vol_multiplier"": 1.0, ""rr_ratio"": 2.0, ""hold_bars"": 6}",818,0.3594,-36162.5,259.27,-220.8,0.678,-2.0216,1.9624,36287.5
VWAP_Reclaim,ES,5m,"{""vol_multiplier"": 1.2, ""rr_ratio"": 2.0, ""hold_bars"": 6}",818,0.3594,-36162.5,259.27,-220.8,0.678,-2.0216,1.9624,36287.5
VWAP_Reclaim,ES,5m,"{""vol_multiplier"": 1.5, ""rr_ratio"": 2.0, ""hold_bars"": 6}",818,0.3594,-36162.5,259.27,-220.8,0.678,-2.0216,1.9624,36287.5
VWAP_Reclaim,ES,5m,"{""vol_multiplier"": 1.5, ""rr_ratio"": 2.0, ""hold_bars"": 12}",818,0.346,-35425.0,335.25,-247.25,0.728,-1.6814,1.8542,35550.0
VWAP_Reclaim,ES,5m,"{""vol_multiplier"": 1.2, ""rr_ratio"": 2.0, ""hold_bars"": 12}",818,0.346,-35425.0,335.25,-247.25,0.728,-1.6814,1.8542,35550.0
VWAP_Reclaim,ES,5m,"{""vol_multiplier"": 1.0, ""rr_ratio"": 2.0, ""hold_bars"": 12}",818,0.346,-35425.0,335.25,-247.25,0.728,-1.6814,1.8542,35550.0
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 2.5, ""atr_period"": 10, ""rr_ratio"": 1.5, ""hold_bars"": 10}",35601,0.4059,-986841.87,350.47,-288.03,0.837,-2.463,1.8014,1009473.12
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 8, ""compress_ratio"": 0.7, ""rr_ratio"": 2.0, ""hold_bars"": 20}",3115,0.3342,-104059.82,267.27,-185.76,0.728,-2.3689,1.7623,106658.04
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 2.0, ""atr_period"": 10, ""rr_ratio"": 1.5, ""hold_bars"": 10}",46122,0.4056,-1306253.75,352.62,-290.26,0.835,-2.7923,1.7223,1325216.87
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.7, ""rr_ratio"": 2.5, ""hold_bars"": 20}",8778,0.3192,-276674.45,322.84,-199.27,0.766,-2.8133,1.5843,280413.94
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 2.5, ""atr_period"": 14, ""rr_ratio"": 1.5, ""hold_bars"": 6}",35117,0.4071,-940957.14,327.78,-274.23,0.833,-2.6593,1.5316,972117.86
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 2.0, ""atr_period"": 14, ""rr_ratio"": 1.5, ""hold_bars"": 6}",45860,0.4078,-1229851.34,327.69,-274.84,0.833,-2.9791,1.3744,1246484.38
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 8, ""compress_ratio"": 0.5, ""rr_ratio"": 2.5, ""hold_bars"": 15}",697,0.2956,-41195.54,215.31,-177.49,0.518,-4.1961,1.2913,42396.43
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.7, ""rr_ratio"": 3.0, ""hold_bars"": 20}",5113,0.3065,-152160.82,336.29,-192.71,0.776,-2.0202,1.2909,157180.91
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 1.5, ""atr_period"": 14, ""rr_ratio"": 1.5, ""hold_bars"": 10}",60132,0.4068,-1571666.52,358.5,-292.19,0.848,-2.869,1.0156,1590261.16
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 8, ""compress_ratio"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 20}",697,0.3113,-39676.79,223.33,-185.17,0.55,-3.8702,0.8316,40645.54
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 8, ""compress_ratio"": 0.7, ""rr_ratio"": 3.0, ""hold_bars"": 20}",3115,0.3002,-92874.11,326.18,-183.93,0.767,-1.8117,0.8018,98491.07
Enhanced_ORB,ES,5m,"{""orb_bars"": 5, ""vol_mult"": 1.0, ""rr_ratio"": 2.0, ""hold_bars"": 12}",28178,0.3661,-590350.0,435.8,-286.18,0.884,-2.242,0.7249,600950.0
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.7, ""rr_ratio"": 2.0, ""hold_bars"": 20}",5113,0.3423,-157512.6,280.48,-194.06,0.757,-2.5053,0.6371,163062.16
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 8, ""compress_ratio"": 0.7, ""rr_ratio"": 2.5, ""hold_bars"": 20}",3115,0.3146,-96307.59,301.23,-184.76,0.754,-2.0044,0.5523,100415.18
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.7, ""rr_ratio"": 3.0, ""hold_bars"": 20}",8778,0.3071,-253943.2,350.15,-198.6,0.788,-2.3876,0.5377,259064.39
Enhanced_ORB,ES,5m,"{""orb_bars"": 3, ""vol_mult"": 1.0, ""rr_ratio"": 2.0, ""hold_bars"": 20}",35666,0.3507,-814262.5,467.07,-288.53,0.878,-2.6702,0.5266,818737.5
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 1.5, ""atr_period"": 10, ""rr_ratio"": 1.5, ""hold_bars"": 10}",60362,0.4066,-1610806.87,354.64,-290.15,0.844,-2.9493,0.4975,1637118.75
PrevDay_HL_Sweep_Rev,ES,5m,"{""sweep_atr"": 0.5, ""rr_ratio"": 2.5, ""hold_bars"": 20}",537,0.352,10912.5,762.24,-384.83,1.082,0.5691,0.4234,12381.25
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 2.0, ""atr_period"": 10, ""rr_ratio"": 1.5, ""hold_bars"": 6}",46122,0.4088,-1238863.75,322.46,-272.13,0.831,-3.0699,0.3459,1269482.5
Enhanced_ORB,NQ,5m,"{""orb_bars"": 3, ""vol_mult"": 1.5, ""rr_ratio"": 2.5, ""hold_bars"": 20}",10484,0.3567,253087.5,1219.35,-639.54,1.059,0.5798,0.3441,103727.5
Enhanced_ORB,NQ,5m,"{""orb_bars"": 5, ""vol_mult"": 1.5, ""rr_ratio"": 2.0, ""hold_bars"": 20}",9036,0.381,182060.0,1109.95,-651.77,1.05,0.4891,0.3421,111705.0
Enhanced_ORB,NQ,5m,"{""orb_bars"": 3, ""vol_mult"": 1.5, ""rr_ratio"": 2.0, ""hold_bars"": 20}",10484,0.3797,177550.0,1098.12,-645.84,1.042,0.4566,0.3417,105255.0
Enhanced_ORB,NQ,5m,"{""orb_bars"": 3, ""vol_mult"": 1.5, ""rr_ratio"": 2.0, ""hold_bars"": 8}",10484,0.4125,196335.0,882.68,-589.01,1.054,0.5961,0.3403,82760.0
Enhanced_ORB,NQ,5m,"{""orb_bars"": 3, ""vol_mult"": 1.5, ""rr_ratio"": 2.0, ""hold_bars"": 12}",10484,0.3957,213750.0,991.44,-616.95,1.055,0.5927,0.3326,97475.0
Enhanced_ORB,NQ,5m,"{""orb_bars"": 5, ""vol_mult"": 1.5, ""rr_ratio"": 2.5, ""hold_bars"": 20}",9036,0.3586,259427.5,1233.24,-645.63,1.069,0.629,0.3174,112050.0
Enhanced_ORB,NQ,5m,"{""orb_bars"": 3, ""vol_mult"": 1.5, ""rr_ratio"": 2.5, ""hold_bars"": 8}",10484,0.3995,210400.0,928.41,-585.35,1.057,0.5917,0.2985,76615.0
Enhanced_ORB,NQ,5m,"{""orb_bars"": 5, ""vol_mult"": 1.5, ""rr_ratio"": 2.0, ""hold_bars"": 12}",9036,0.3986,219570.0,998.08,-622.68,1.065,0.6354,0.2983,98835.0
PrevDay_HL_Sweep_Rev,ES,5m,"{""sweep_atr"": 0.5, ""rr_ratio"": 2.5, ""hold_bars"": 12}",537,0.3724,5862.5,655.94,-372.99,1.047,0.3401,0.2955,11356.25
Enhanced_ORB,NQ,5m,"{""orb_bars"": 5, ""vol_mult"": 1.5, ""rr_ratio"": 2.0, ""hold_bars"": 8}",9036,0.4154,214790.0,888.76,-592.0,1.069,0.6802,0.2925,95335.0
Enhanced_ORB,NQ,5m,"{""orb_bars"": 5, ""vol_mult"": 1.5, ""rr_ratio"": 1.5, ""hold_bars"": 8}",9036,0.4399,97025.0,787.99,-600.68,1.032,0.3509,0.285,98125.0
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 2.5, ""atr_period"": 10, ""rr_ratio"": 1.5, ""hold_bars"": 6}",35601,0.4097,-925681.25,320.46,-270.16,0.835,-2.6592,0.269,955965.0
